,DATA,INCOME,OVERCHARGE,LEFTOVER,HOUSE,CHILD,REVENUE,HANDSET_PRICE,OVER_15MINS_CALLS_PER_MONTH,TIME_CLIENT,AVERAGE_CALL_DURATION,REPORTED_SATISFACTION,CONSIDERING_CHANGE_OF_PLAN,CHURNED
0,660.0,19995.0,0.0,0.0,897338.0,4.0,160.0,155.0,1.0,1.2,15.0,1.0,0.75,1.0
1,317.65,31477.0,155.0,15.0,393396.0,0.0,100.0,245.0,27.0,2.7,4.0,0.75,0.75,0.0
2,208.7,66742.0,0.0,13.0,937197.0,4.0,127.0,493.0,20.0,2.6,4.0,0.5,0.75,1.0
3,265.02,40864.0,183.0,0.0,986430.0,3.0,86.0,390.0,13.0,2.5,12.0,0.75,0.75,0.0
4,440.0,43321.5,200.0,0.0,394622.0,2.0,77.0,175.0,18.0,2.4,10.0,1.0,1.0,0.0
5,840.0,18786.5,0.0,15.0,475819.0,1.0,143.0,187.0,0.0,3.8,4.0,1.0,1.0,1.0
6,264.0,46515.5,0.0,15.0,150498.0,3.0,191.0,363.0,1.0,3.2,4.0,1.0,0.0,1.0
7,141.07,90444.5,168.0,37.0,183605.0,5.0,217.0,539.0,28.0,2.0,2.0,0.0,0.25,1.0
8,483.87,94779.5,179.0,0.0,677946.0,1.0,204.0,208.0,23.0,2.5,11.0,1.0,0.75,0.0
9,276.32,64602.5,204.0,24.0,270004.0,0.0,167.0,313.0,16.0,1.8,4.0,1.0,0.75,1.0
10,267.33,53028.5,42.0,6.0,722147.0,3.0,121.0,270.0,5.0,1.8,6.0,0.0,0.25,1.0
11,330.77,42003.5,0.0,29.0,369274.0,4.0,248.0,165.0,1.0,3.3,2.0,1.0,1.0,0.0
12,183.67,72575.5,47.0,0.0,635803.0,3.0,89.0,749.0,5.0,1.9,14.0,1.0,1.0,1.0
13,600.0,13767.5,0.0,10.0,374054.0,2.0,133.0,235.0,1.0,4.0,6.0,1.0,0.75,0.0
14,138.92,31853.0,209.0,49.0,441115.0,2.0,136.0,211.0,28.0,2.7,1.0,0.75,1.0,0.0
15,574.07,72120.0,62.0,13.0,718993.0,0.0,210.0,587.0,4.0,2.1,4.0,0.5,0.75,1.0
16,364.49,40449.0,34.0,8.0,445875.0,3.0,228.0,835.0,4.0,3.6,5.0,0.25,0.75,1.0
17,618.18,54807.0,65.0,0.0,283817.0,2.0,149.0,305.0,5.0,3.4,15.0,0.0,0.0,1.0
18,64.24,19763.0,54.0,78.0,188852.0,4.0,121.0,312.0,5.0,1.0,2.0,0.75,0.75,1.0
19,810.0,46122.0,0.0,11.0,240074.0,1.0,95.0,315.0,4.0,2.7,6.0,1.0,1.0,1.0
20,392.31,61519.5,160.0,8.0,957540.0,1.0,93.0,374.0,28.0,3.4,4.0,0.0,0.25,1.0
21,187.5,73637.0,0.0,14.0,365137.0,4.0,156.0,586.0,1.0,1.5,5.0,0.5,0.25,1.0
22,299.0,46359.5,201.0,0.0,619334.0,3.0,186.0,392.0,24.0,2.0,13.0,1.0,0.5,1.0
23,813.83,71291.0,88.0,12.0,927493.0,1.0,177.0,641.0,4.0,3.1,6.0,1.0,1.0,0.0
24,16.76,49277.0,168.0,9.0,991551.0,2.0,168.0,322.0,22.0,1.2,5.0,0.5,0.75,1.0
25,1650.0,74429.5,0.0,0.0,927340.0,3.0,228.0,563.0,0.0,6.5,15.0,0.0,1.0,1.0
26,1020.0,20848.5,0.0,59.0,387068.0,1.0,92.0,203.0,1.0,1.4,2.0,0.0,1.0,0.0
27,455.83,89747.5,183.0,0.0,529329.0,5.0,131.0,610.0,13.0,3.3,10.0,1.0,0.0,0.0
28,1050.0,33497.5,0.0,0.0,251737.0,2.0,87.0,254.0,3.0,2.5,14.0,1.0,0.0,1.0
29,960.0,45084.5,0.0,28.0,502805.0,1.0,232.0,274.0,0.0,1.2,2.0,1.0,0.0,0.0
30,2880.0,67189.5,0.0,15.0,287024.0,1.0,175.0,457.0,0.0,8.6,5.0,1.0,0.25,1.0
31,1140.0,16707.0,0.0,0.0,232877.0,2.0,195.0,188.0,0.0,3.8,6.0,0.0,1.0,1.0
32,211.48,27285.5,0.0,51.0,233576.0,3.0,125.0,352.0,0.0,4.3,1.0,1.0,0.75,0.0
33,376.18,70389.0,219.0,0.0,675911.0,0.0,153.0,265.0,0.0,4.0,5.0,1.0,0.75,1.0
34,538.46,31166.5,173.0,0.0,536064.0,1.0,139.0,209.0,28.0,2.9,10.0,1.0,0.75,0.0
35,570.0,79768.0,0.0,63.0,738333.0,1.0,205.0,896.0,0.0,1.9,1.0,0.75,0.75,0.0
36,894.74,82913.5,71.0,0.0,248208.0,3.0,166.0,582.0,5.0,6.1,10.0,0.75,0.75,1.0
37,356.52,82305.0,245.0,0.0,534989.0,3.0,142.0,440.0,10.0,2.1,13.0,0.5,1.0,0.0
38,217.82,26919.0,63.0,14.0,781766.0,3.0,176.0,248.0,4.0,1.2,6.0,0.5,0.25,1.0
39,181.82,22143.5,0.0,23.0,409048.0,3.0,147.0,241.0,4.0,2.0,5.0,0.75,0.75,1.0
40,803.28,29797.5,83.0,20.0,169357.0,1.0,145.0,222.0,5.0,4.9,5.0,0.75,0.25,1.0
41,146.04,63650.0,56.0,83.0,750416.0,2.0,133.0,588.0,5.0,3.8,1.0,0.0,1.0,0.0
42,466.43,89747.5,183.0,0.0,529329.0,1.0,111.0,610.0,13.0,2.4,10.0,1.0,0.0,0.0
43,319.15,64057.0,88.0,86.0,572232.0,0.0,134.0,409.0,27.0,3.0,1.0,0.75,0.75,1.0
44,156.46,30425.0,171.0,17.0,211509.0,2.0,227.0,185.0,0.0,3.3,6.0,1.0,0.75,1.0
45,227.27,18265.0,0.0,23.0,310288.0,5.0,253.0,204.0,1.0,1.5,4.0,0.75,0.25,0.0
46,1320.0,50355.0,0.0,0.0,486954.9436918918,1.0,325.0,417.0,1.0,4.4,15.0,0.75,0.75,1.0
47,178.63,20758.0,51.0,42.0,673115.0,3.0,121.0,136.0,4.0,2.4,2.0,1.0,0.75,1.0
48,750.0,44796.0,0.0,8.0,743903.0,1.0,102.0,388.0,0.0,2.5,4.0,0.75,0.75,1.0
49,456.52,24633.5,66.0,11.0,700297.0,3.0,111.0,338.0,4.0,4.2,2.0,0.75,0.0,1.0
50,1200.0,15648.5,0.0,0.0,206623.0,2.0,194.0,643.0,1.0,2.0,14.0,0.0,0.25,0.0
51,23.83,50013.0,223.0,81.0,689056.0,3.0,143.0,369.0,29.0,0.9,2.0,1.0,1.0,0.0
52,561.4,37956.0,71.0,84.0,479893.0,0.0,144.0,358.0,4.0,1.2,1.0,0.75,0.25,0.0
53,134.02,45751.0,191.0,24.0,518655.9265994216,1.0,143.0,292.0,16.0,2.3,1.0,1.0,0.75,1.0
54,137.49,47284.0,61.0,69.0,392276.0,2.0,95.0,375.0,3.0,1.9,2.0,1.0,0.5,0.0
55,148.15,39247.0,62.0,20.0,553666.0,1.0,110.0,315.0,5.0,1.8,4.0,1.0,0.0,1.0
56,480.0,19274.5,0.0,0.0,701381.0,3.0,160.0,172.0,1.0,1.6,9.0,0.75,0.25,1.0
57,1136.36,22225.5,32.0,0.0,823570.0,3.0,102.0,176.0,5.0,5.0,15.0,1.0,0.75,1.0
58,313.04,11091.0,0.0,13.0,778878.0,4.0,134.0,135.0,0.0,2.4,5.0,0.5,0.75,1.0
59,241.61,67392.5,187.0,16.0,916271.0,4.0,145.0,274.0,28.0,4.6,4.0,1.0,0.0,1.0
60,321.84,37685.0,161.0,23.0,186143.0,1.0,185.0,192.0,28.0,2.8,5.0,0.75,0.25,1.0
61,309.37,13849.5,0.0,22.0,702366.0,4.0,149.0,154.0,1.0,2.3,4.0,0.0,0.75,1.0
62,1920.0,62502.5,0.0,0.0,264314.0,3.0,187.0,717.0,0.0,4.4,5.0,1.0,0.75,0.0
63,1470.0,76307.0,0.0,0.0,582408.0,4.0,172.0,414.0,1.0,4.9,15.0,1.0,1.0,1.0
64,149.63,76216.0,181.0,12.0,206205.0,4.0,166.0,411.0,29.0,2.0,5.0,0.75,0.25,1.0
65,615.79,33685.5,90.0,0.0,308751.0,4.0,191.0,216.0,3.0,3.9,8.0,0.0,1.0,0.0
66,73.3,82519.5,226.0,82.0,557574.0,3.0,185.0,819.0,11.0,2.8,1.0,0.5,1.0,1.0
67,1560.0,37671.0,0.0,0.0,897371.0,3.0,183.0,361.0,0.0,4.2,11.0,0.5,1.0,1.0
68,900.0,42779.0,0.0,0.0,887345.0,1.0,137.0,386.0,0.0,2.0,4.0,1.0,0.75,0.0
69,235.85,38098.5,218.0,84.0,768443.0,0.0,110.0,232.0,15.0,3.5,2.0,1.0,0.5,1.0
70,766.67,21884.5,0.0,8.0,266894.0,2.0,144.0,131.0,0.0,4.6,4.0,0.5,0.75,1.0
71,122.37,18731.5,0.0,66.0,250641.0,3.0,158.0,182.0,16.0,4.1,5.0,0.0,0.0,1.0
72,168.22,44257.5,221.0,0.0,204100.0,0.0,162.0,131.0,14.0,2.8,14.0,1.0,1.0,1.0
73,394.74,19364.5,56.0,11.0,166645.0,3.0,116.0,145.0,4.0,3.5,6.0,0.5,0.75,0.0
74,586.96,70333.0,86.0,9.0,547665.0,2.0,142.0,779.0,5.0,4.4,4.0,0.0,0.0,0.0
75,143.21,71320.5,27.0,69.0,879129.0,4.0,210.0,673.0,5.0,2.9,2.0,1.0,1.0,1.0
76,372.97,71052.5,85.0,27.0,760117.0,0.0,134.0,485.0,3.0,2.3,2.0,1.0,1.0,0.0
77,678.08,57209.0,46.0,0.0,730866.0,1.0,155.0,636.0,5.0,2.3,6.0,0.75,0.25,1.0
78,415.09,26922.0,59.0,0.0,184307.0,2.0,113.0,135.0,4.0,1.2,12.0,1.0,0.75,1.0
79,121.62,93772.0,186.0,38.0,296729.0,5.0,148.0,525.0,14.0,2.7,2.0,0.5,0.75,0.0
80,434.34,73691.5,197.0,0.0,196471.0,4.0,128.0,826.0,29.0,2.3,8.0,1.0,0.25,0.0
81,114.44,48744.5,167.0,10.0,459343.0,2.0,110.0,304.0,29.0,2.4,1.0,0.0,0.25,1.0
82,690.0,19057.0,0.0,0.0,773128.0,2.0,118.0,145.0,0.0,2.3,11.0,1.0,0.75,0.0
83,295.19,57198.0,207.0,13.0,326356.0,2.0,103.0,298.0,21.0,3.3,5.0,0.5,1.0,0.0
84,118.29,41547.5,183.0,63.0,476474.0,3.0,127.0,176.0,25.0,1.6,1.0,1.0,0.25,0.0
